Date,Open,High,Low,Close,Adj Close,Volume
2021-02-12,389.850006,392.899994,389.769989,392.640015,391.358215,50593300
2021-02-16,393.959991,394.170013,391.529999,392.299988,391.019318,50972400
2021-02-17,390.420013,392.660004,389.329987,392.390015,391.109039,52290600
2021-02-18,389.589996,391.519989,387.739990,390.720001,389.444489,59712800
2021-02-19,392.070007,392.380005,389.549988,390.029999,388.756714,83241000
2021-02-22,387.059998,389.619995,386.739990,387.029999,385.766510,67414200
2021-02-23,384.660004,388.950012,380.200012,387.500000,386.234985,107284100
2021-02-24,386.329987,392.230011,385.269989,391.769989,390.491028,72433900
2021-02-25,390.410004,391.880005,380.779999,382.329987,381.081848,146670500
2021-02-26,384.350006,385.579987,378.230011,380.359985,379.118286,152701600
2021-03-01,385.589996,390.920013,380.570007,389.579987,388.308197,105348800
2021-03-02,389.820007,390.070007,386.000000,386.540009,385.278137,79595300
2021-03-03,385.790009,386.829987,381.309998,381.420013,380.174835,119940200
2021-03-04,381.220001,384.000000,371.880005,376.700012,375.470245,183433000
2021-03-05,380.459991,384.760010,372.640015,383.630005,382.377625,152039600
2021-03-08,384.660004,387.679993,381.420013,381.720001,380.473846,123149200
2021-03-09,385.850006,389.910004,385.309998,387.170013,385.906067,113633600
2021-03-10,389.690002,391.399994,388.170013,389.579987,388.308197,109899400
2021-03-11,392.230011,395.649994,391.739990,393.529999,392.245300,86245000
2021-03-12,392.070007,394.209991,391.200012,394.059998,392.773560,64653600
2021-03-15,394.329987,396.690002,392.029999,396.410004,395.115906,73427200
2021-03-16,397.070007,397.829987,395.079987,395.910004,394.617523,73722500
2021-03-17,394.529999,398.119995,393.299988,397.260010,395.963135,97959300
2021-03-18,394.480011,396.720001,390.750000,391.480011,390.201996,115349100
2021-03-19,389.880005,391.570007,387.149994,389.480011,389.480011,113624500
2021-03-22,390.029999,394.070007,389.970001,392.589996,392.589996,73778600
2021-03-23,391.910004,393.459991,388.660004,389.500000,389.500000,90686600
2021-03-24,391.000000,392.750000,387.470001,387.519989,387.519989,97588600
2021-03-25,385.980011,390.549988,383.899994,389.700012,389.700012,116128600
2021-03-26,390.929993,396.410004,390.290009,395.980011,395.980011,114409100
2021-03-29,394.399994,396.750000,392.809998,395.779999,395.779999,108107600
2021-03-30,394.420013,395.450012,393.019989,394.730011,394.730011,76262200
2021-03-31,395.339996,398.000000,395.309998,396.329987,396.329987,112734200
2021-04-01,398.399994,400.670013,398.179993,400.609985,400.609985,99682900
2021-04-05,403.459991,406.940002,403.380005,406.359985,406.359985,91684800
2021-04-06,405.760010,407.239990,405.399994,406.119995,406.119995,62021000
2021-04-07,405.940002,406.959991,405.450012,406.589996,406.589996,55836300
2021-04-08,407.929993,408.579987,406.929993,408.519989,408.519989,57863100
2021-04-09,408.390015,411.670013,408.260010,411.489990,411.489990,61104600
2021-04-12,410.850006,411.929993,410.200012,411.640015,411.640015,56704900
2021-04-13,411.529999,413.529999,411.119995,412.859985,412.859985,56551000
2021-04-14,412.829987,413.959991,410.869995,411.450012,411.450012,61659900
2021-04-15,413.739990,416.160004,413.690002,415.869995,415.869995,60229800
2021-04-16,417.250000,417.910004,415.730011,417.260010,417.260010,82037300
2021-04-19,416.260010,416.739990,413.790009,415.209991,415.209991,78498500
2021-04-20,413.910004,415.089996,410.589996,412.170013,412.170013,81851800
2021-04-21,411.510010,416.290009,411.359985,416.070007,416.070007,66793000
2021-04-22,415.890015,416.779999,411.130005,412.269989,412.269989,97582800
2021-04-23,412.869995,418.250000,412.790009,416.739990,416.739990,73209200
2021-04-26,417.440002,418.220001,416.809998,417.609985,417.609985,52182400
2021-04-27,417.929993,418.140015,416.299988,417.519989,417.519989,51303100
2021-04-28,417.809998,419.010010,416.899994,417.399994,417.399994,51238900
2021-04-29,420.320007,420.720001,416.440002,420.059998,420.059998,78544300
2021-04-30,417.630005,418.540009,416.339996,417.299988,417.299988,85527000
2021-05-03,419.429993,419.839996,417.670013,418.200012,418.200012,68128300
2021-05-04,416.070007,416.600006,411.670013,415.619995,415.619995,101591200
2021-05-05,417.380005,417.630005,415.149994,415.750000,415.750000,60162200
2021-05-06,415.829987,419.209991,413.679993,419.070007,419.070007,74321400
2021-05-07,419.890015,422.820007,419.160004,422.119995,422.119995,67733800
2021-05-10,422.500000,422.739990,417.809998,417.940002,417.940002,81852400
2021-05-11,413.100006,415.269989,410.059998,414.209991,414.209991,116888000
2021-05-12,411.230011,412.589996,404.000000,405.410004,405.410004,134811000
2021-05-13,407.070007,412.350006,407.019989,410.279999,410.279999,106394000
2021-05-14,413.209991,417.489990,413.179993,416.579987,416.579987,82201600
2021-05-17,415.390015,416.390015,413.359985,415.519989,415.519989,65129200
2021-05-18,415.799988,416.059998,411.769989,411.940002,411.940002,59810200
2021-05-19,406.920013,411.049988,405.329987,410.859985,410.859985,106467100
2021-05-20,411.799988,416.630005,411.670013,415.279999,415.279999,78022200
2021-05-21,416.869995,418.200012,414.450012,414.940002,414.940002,76578700
2021-05-24,417.339996,420.320007,417.079987,419.170013,419.170013,51376700
2021-05-25,420.329987,420.709991,417.619995,418.239990,418.239990,57451400
2021-05-26,418.869995,419.609985,417.760010,419.070007,419.070007,43088600
2021-05-27,420.170013,420.720001,418.989990,419.290009,419.290009,56707700
2021-05-28,420.970001,421.250000,419.790009,420.040009,420.040009,58520200
2021-06-01,422.570007,422.720001,419.200012,419.670013,419.670013,54216600
2021-06-02,420.369995,421.230011,419.290009,420.329987,420.329987,49097100
2021-06-03,417.850006,419.989990,416.279999,418.769989,418.769989,58138800
2021-06-04,420.750000,422.920013,418.839996,422.600006,422.600006,55938800
2021-06-07,422.589996,422.779999,421.190002,422.190002,422.190002,51555000
2021-06-08,423.109985,423.209991,420.320007,422.279999,422.279999,47134300
2021-06-09,423.179993,423.260010,421.410004,421.649994,421.649994,48436300
2021-06-10,422.959991,424.630005,421.549988,423.609985,423.609985,51020100
2021-06-11,424.200012,424.429993,422.820007,424.309998,424.309998,45570800
2021-06-14,424.429993,425.369995,423.100006,425.260010,425.260010,42358500
2021-06-15,425.420013,425.459991,423.540009,424.480011,424.480011,51508500
2021-06-16,424.630005,424.869995,419.920013,422.109985,422.109985,80386100
2021-06-17,421.670013,423.019989,419.320007,421.970001,421.970001,90949700
2021-06-18,417.089996,417.829987,414.700012,414.920013,414.920013,118573500
2021-06-21,416.799988,421.059998,415.929993,420.859985,420.859985,72822000
2021-06-22,420.850006,424.000000,420.079987,423.109985,423.109985,57700300
2021-06-23,423.190002,424.049988,422.510010,422.600006,422.600006,49445400
2021-06-24,424.890015,425.549988,424.619995,425.100006,425.100006,45110300
2021-06-25,425.899994,427.089996,425.549988,426.609985,426.609985,58067900
2021-06-28,427.170013,427.649994,425.890015,427.470001,427.470001,53159600
2021-06-29,427.880005,428.559998,427.130005,427.700012,427.700012,35922600
